Gene	NC_1	NC_2	NC_3	BeforeSurgery_1	BeforeSurgery_2	BeforeSurgery_3	AfterSurgery_1	AfterSurgery_2	AfterSurgery_3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRAPPC13	-0.469909142950867	-0.454763094348993	0.778509713364544	-0.489117404536071	0.348755341114972	-0.498091377339635	-0.488791168299449	0.195699999089377	0.305526501411271	1.31739253428681	0.599387239999109	2.37402954788744	0.252476739614501	0.800672590962649	NA
TRAPPC3L	3.74653973383175	3.6691004014869	4.00007105252937	3.04831164035235	4.07655498856539	3.21587542767896	3.22542334798566	4.34535790675465	3.25923107271934	14.0956634187381	0.302262833170452	0.901758874691986	0.335192523914662	0.737479861216447	0.86354479475772
TRAPPC5	-0.784748052086931	-0.737423316601318	0.487432791976098	-0.814436192861652	-0.834517193725806	0.0280841366877247	-0.814153733715724	-0.394401738960721	-0.45667989540715	1.03136567962232	1.31132735831551	2.4952996580389	0.525518990911941	0.599222454990101	NA
TRAPPC6B	1.40766506994252	0.884313927656112	1.42853198025386	1.29640176216794	2.0184862082114	1.93156789745993	1.61774756454326	1.3021528343653	1.22963887718935	3.11699232547116	-1.18333759809194	1.29034356084166	-0.917071727253846	0.359105055234499	NA
TREML2	0.322122858051659	-0.110820795046515	-0.12285062097987	0.230332289584665	1.37014890921499	0.186110447712494	0.706835587103166	0.235131215841237	0.174019798953335	1.66728959015356	-2.30482793155198	1.85597556514094	-1.24184174341593	0.214294957767979	NA
TREX1	1.79002935741048	1.32229911096837	-0.427805479836799	-0.468251691312756	-0.511514031720839	0.52842368971445	-0.467659806987954	-0.466465023624336	-0.4892070476825	2.44339537946008	3.94562043844676	2.43388212133864	1.62112224082433	0.10499142499889	NA
TRIB1	0.91066329623649	0.501979477340167	0.485054078399517	1.82530476961364	0.904109304365364	1.36217158312576	1.07741084921723	2.38932053430432	0.993216868161608	3.2151423764505	-3.27472708387161	1.70567285924109	-1.91990337779581	0.0548701051921459	NA
TRIB2	-0.0221837661534807	-0.00610532892829702	-0.0181191729335117	0.954726242314534	-0.0690283497812343	1.00798338936789	0.586127984238666	0.963565006562246	0.692924797859083	1.75258286744195	-3.4268152994332	1.95930972449223	-1.74899111487913	0.0802925552752838	NA
TRIB3	-1.04199809363146	-0.996906157865207	-1.03018544718325	-1.10989805380593	0.366847463739885	-1.11789667578515	-0.123152654995711	-1.10614527201554	-1.12000236411961	0.937797398395423	-2.54491521143758	3.46397052770892	-0.734681542778828	0.462533463696612	NA
TRIM13	2.11111602938582	2.7294015245603	0.776026239617961	1.38639398068621	1.6631423695709	0.704704113979511	1.38887120610851	3.63570791939279	0.699178540870543	6.6978911589172	-0.0847334341051015	1.89318649367306	-0.0447570455358077	0.964300963454973	0.981631147078642
TRIM16	-0.269100732736215	-0.245668270978718	1.45163289568644	-0.301237464118018	1.64642600363183	-0.316602098213245	-0.300683314473408	1.08099317301111	-0.320783955931182	2.42350194121348	0.119593644753129	2.7930723790372	0.0428179540389692	0.965846651860768	NA
TRIM22	2.46245878433573	2.48767946072779	2.46878785147143	4.24588615252756	6.12562768870856	3.40857359536176	4.71912463718967	5.52402261512899	3.56365230889021	38.0246700885265	-7.87686029275479	1.72483438576269	-4.56673426606798	4.95381353150071e-06	0.000848340567269496
TRIM24	0.494647561431952	0.238430342332005	-0.326044141532194	-0.354767475684452	0.975626461146978	-0.366155176235225	-0.354354671590656	1.17414099872669	-0.369234976482077	1.72731460583352	-0.574263090487076	2.46361411841571	-0.233097824125302	0.8156854444701	NA
TRIM28	1.05794644992549	2.2993451287129	2.19743302898433	1.21856762309207	1.93775766645708	0.587334245334342	0.603002184435781	0.60411246891426	1.93007361928525	3.86555455008909	1.48669353233687	1.66289852272987	0.894037436449378	0.371301861406533	0.59798222977306
